# simulated random data filefor batch processing
# timestamp: 2018-04-18 14:06:02
# WGB
# ------------------

"varX","varY"
0.0946122461464256,0.809304807102308
0.132689688820392,0.243827488971874
0.641347881872207,0.227242406224832
0.726395807461813,0.636721974005923
0.266739775193855,0.674633843358606
0.925751251168549,0.895918195135891
0.443853225791827,0.19702326040715
0.282820406602696,0.456606007413939
0.810914523201063,0.947769912658259
0.269389480585232,0.266952260630205
0.17142629576847,0.186574606923386
0.135525522520766,0.383475845912471
0.378575020702556,0.462137791095302
0.510291695361957,0.0981341530568898
0.778732765465975,0.703291580546647
0.0781241380609572,0.57244660705328
0.522237206343561,0.336073555517942
0.13087069010362,0.971100579248741
0.696678567677736,0.818129434017465
0.17654377152212,0.406519100535661
0.0332181812264025,0.427704466739669
0.692862905794755,0.0323399258777499
0.00289485789835453,0.439593070186675
0.838508570333943,0.62792118312791
0.835940360091627,0.455859245266765
0.793120792135596,0.921143096173182
0.623803744092584,0.822637928416952
0.0151627827435732,0.8662687712349
NA,0.673207365674898
0.233864154433832,0.0608873150777072
0.802134989993647,NA
0.295250775292516,0.91041932720691
0.0182406138628721,0.617099917493761
0.0340794858057052,0.878318412229419
0.768579863710329,0.300863876705989
0.78556310525164,0.0168078998103738
0.935539407422766,0.915485276607797
0.270619270857424,0.59568598982878
0.725280354730785,0.422801985638216
0.262311191763729,0.801830602809787
0.684057347476482,0.14227033383213
0.22261465433985,0.223291891161352
0.944547563092783,0.896543486043811
0.90887269959785,0.149679691065103
0.20747314626351,0.238365522352979
0.221515181241557,0.772537395125255
0.131923675304279,0.997105740243569
0.470076030120254,0.866945730056614
0.066715354565531,0.000531504163518548
0.253548951121047,0.436271441401914
0.222218474606052,0.998847828013822
0.899763624416664,0.450593155808747
0.710588239366189,0.71224043564871
0.127256484469399,0.641144662629813
0.566533043514937,0.850742033449933
0.746257183607668,0.882238468388095
0.445261895423755,0.89141180482693
0.323208600049838,0.984848843188956
0.388162432704121,0.548296089516953
0.828416316770017,0.183147236704826
0.683075873879716,0.596218764549121
0.486003771424294,0.797692868625745
