# simulated random data filefor batch processing
# timestamp: 2018-04-18 14:06:03
# WGB
# ------------------

"varX","varY"
NA,0.0049336738884449
0.646395405288786,0.316385929239914
NA,0.100453836144879
0.866757634328678,0.762392684351653
0.758369275135919,0.155220749787986
0.260229333071038,0.749751177383587
0.387289045844227,0.662990994052961
0.865449992241338,0.28696555737406
0.313591230195016,NA
0.784698258852586,0.156086676754057
0.706805129302666,NA
0.607176942750812,0.707155592273921
NA,NA
0.295379522955045,0.939433245221153
NA,0.843167219078168
0.705680973827839,0.25826390273869
0.019951679976657,NA
